Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Corey Ballentine,Washburn,7,2019,2024,72,11,https://www.profootballarchives.com/players/b/ball01770.html
Lonnie Ballentine,Memphis,2,2015,2016,4,0,https://www.profootballarchives.com/players/b/ball01780.html
Gary Ballman,Michigan,State,13,1962,1973,131,https://www.profootballarchives.com/players/b/ball02000.html
Mike Ballou,Santa,Monica,JC;,UCLA,1,1970,https://www.profootballarchives.com/players/b/ball02200.html
Kentwan Balmer,North,Carolina,4,2008,2011,46,https://www.profootballarchives.com/players/b/balm00400.html
Bob Balog,Georgia;,Denver,2,1949,1950,19,https://www.profootballarchives.com/players/b/balo00200.html
Mike Balogun,Lackawanna,JC;,Oklahoma,1,2010,2010,https://www.profootballarchives.com/players/b/balo00300.html
Dick Baltzell,Southwestern,(Kansas),1,1935,1935,2,https://www.profootballarchives.com/players/b/balt00200.html
Steve Banas,Notre,Dame,2,1935,1935,3,https://www.profootballarchives.com/players/b/bana00200.html
John Banaszak,Eastern,Michigan,7,1975,1981,91,https://www.profootballarchives.com/players/b/bana00400.html
Pete Banaszak,Miami,(Florida),13,1966,1978,173,https://www.profootballarchives.com/players/b/bana00600.html
Cas Banaszek,Northwestern,10,1968,1977,120,112,https://www.profootballarchives.com/players/b/bana00800.html
Hugh Bancroft,none,1,1923,1923,2,1,https://www.profootballarchives.com/players/b/banc00200.html
Romeo Bandison,Oregon,2,1995,1996,14,0,https://www.profootballarchives.com/players/b/band00100.html
Bruno Banducci,Stanford,11,1944,1954,120,99,https://www.profootballarchives.com/players/b/band00200.html
John Bandura,Louisiana-Lafayette,1,1943,1943,1,0,https://www.profootballarchives.com/players/b/band00400.html
Don Bandy,Compton,JC;,Tulsa,2,1967,1968,https://www.profootballarchives.com/players/b/band00600.html
Michael Bandy,San,Diego,3,2021,2023,12,https://www.profootballarchives.com/players/b/band00880.html
Joey Banes,Houston,1,1990,1990,1,0,https://www.profootballarchives.com/players/b/bane00100.html
Herb Banet,Manchester,1,1937,1937,6,2,https://www.profootballarchives.com/players/b/bane00200.html
Tony Banfield,Oklahoma,State,5,1960,1965,67,https://www.profootballarchives.com/players/b/banf00200.html
Ben Bangs,Washington,State,1,1926,1926,1,https://www.profootballarchives.com/players/b/bang00200.html
Emil Banjavic,Arizona,1,1942,1942,10,1,https://www.profootballarchives.com/players/b/banj00200.html
Chris Banjo,Southern,Methodist,11,2013,2022,131,https://www.profootballarchives.com/players/b/banj00380.html
Ted Banker,Southeast,Missouri,State,6,1984,1989,https://www.profootballarchives.com/players/b/bank00200.html
Aaron Banks,Notre,Dame,4,2021,2024,53,https://www.profootballarchives.com/players/b/bank00285.html
Antonio Banks,Virginia,Tech,3,1998,2000,24,https://www.profootballarchives.com/players/b/bank00300.html
Brandon Banks,Bakersfield,CC;,Kansas,State,3,2010,https://www.profootballarchives.com/players/b/bank00390.html
Brandon Banks,North,Carolina-Charlotte,1,2017,2017,1,https://www.profootballarchives.com/players/b/bank00391.html
Carl Banks,Michigan,State,12,1984,1995,173,https://www.profootballarchives.com/players/b/bank00400.html
Chip Banks,Southern,California,10,1982,1992,138,https://www.profootballarchives.com/players/b/bank00600.html
Chris Banks,Kansas,3,1998,2000,28,5,https://www.profootballarchives.com/players/b/bank00700.html
Chuck Banks,Ferrum,JC;,West,Virginia,Tech,2,https://www.profootballarchives.com/players/b/bank00800.html
Deonte Banks,Maryland,2,2023,2024,29,29,https://www.profootballarchives.com/players/b/bank00890.html
Eric Banks,Texas-San,Antonio,3,2021,2023,5,https://www.profootballarchives.com/players/b/bank01150.html
Estes Banks,Colorado,2,1967,1968,23,3,https://www.profootballarchives.com/players/b/bank01200.html
Fred Banks,Chowan,JC;,Liberty,9,1985,1993,https://www.profootballarchives.com/players/b/bank01400.html
Gary Banks,Troy,1,2010,2010,2,2,https://www.profootballarchives.com/players/b/bank01530.html
Gordon Banks,Stanford,5,1980,1987,36,10,https://www.profootballarchives.com/players/b/bank01600.html
Jason Banks,Grambling,State,1,2009,2009,1,https://www.profootballarchives.com/players/b/bank01820.html
Johnthan Banks,Mississippi,State,7,2013,2017,57,https://www.profootballarchives.com/players/b/bank01890.html
Keshawn Banks,San,Diego,State,1,2024,2024,https://www.profootballarchives.com/players/b/bank01903.html
Mike Banks,Iowa,State,2,2002,2003,18,https://www.profootballarchives.com/players/b/bank01970.html
Robert Banks,Notre,Dame,3,1988,1990,44,https://www.profootballarchives.com/players/b/bank02000.html
Roy Banks,Eastern,Illinois,2,1987,1988,15,https://www.profootballarchives.com/players/b/bank02200.html
Tavian Banks,Iowa,2,1998,1999,14,2,https://www.profootballarchives.com/players/b/bank02300.html
Tom Banks,Auburn,10,1971,1980,116,110,https://www.profootballarchives.com/players/b/bank02400.html
Tony Banks,Mesa,CC;,Michigan,State,9,1996,https://www.profootballarchives.com/players/b/bank02500.html
Willie Banks,Alcorn,State,4,1968,1973,37,https://www.profootballarchives.com/players/b/bank02600.html
Michael Bankston,Sam,Houston,State,9,1992,2000,https://www.profootballarchives.com/players/b/bank02700.html
Warren Bankston,Tulane,10,1969,1978,114,7,https://www.profootballarchives.com/players/b/bank02800.html
Justin Bannan,Colorado,12,2002,2013,164,72,https://www.profootballarchives.com/players/b/bann00120.html
Zach Banner,Southern,California,4,2017,2021,30,https://www.profootballarchives.com/players/b/bann00126.html
Alex Bannister,Eastern,Kentucky,6,2001,2006,59,https://www.profootballarchives.com/players/b/bann00130.html
Bruce Bannon,Penn,State,2,1973,1974,28,https://www.profootballarchives.com/players/b/bann00200.html
Ed Bannon,Minnesota,1,1944,1944,1,0,https://www.profootballarchives.com/players/b/bann00300.html
Ben Banogu,Louisiana-Monroe;,Texas,Christian,4,2019,2022,https://www.profootballarchives.com/players/b/bano00050.html
Vince Banonis,Detroit,Mercy,10,1942,1953,108,https://www.profootballarchives.com/players/b/bano00200.html
Al Bansavage,The,Citadel;,Southern,California,2,1960,https://www.profootballarchives.com/players/b/bans00200.html
Brad Banta,Southern,California,11,1994,2004,156,https://www.profootballarchives.com/players/b/bant00200.html
Jack Banta,Southern,California,7,1941,1948,53,https://www.profootballarchives.com/players/b/bant00400.html
Tully Banta-Cain,California,8,2003,2010,113,31,https://www.profootballarchives.com/players/b/bant00500.html
Joe Banyard,Texas,Christian;,Texas-El,Paso,5,2013,https://www.profootballarchives.com/players/b/bany00200.html
Gary Barbaro,Nicholls,State,7,1976,1982,101,https://www.profootballarchives.com/players/b/barb00200.html
Roland Barbay,Louisiana,State,1,1987,1987,5,https://www.profootballarchives.com/players/b/barb00400.html
Joe Barbee,Kent,State,1,1960,1960,1,https://www.profootballarchives.com/players/b/barb00600.html
Bob Barber,Grambling,State,4,1976,1979,60,https://www.profootballarchives.com/players/b/barb01000.html
Chris Barber,North,Carolina,A&T,State,3,1987,https://www.profootballarchives.com/players/b/barb01200.html
Dominique Barber,Minnesota,4,2008,2011,39,7,https://www.profootballarchives.com/players/b/barb01250.html
Ernie Barber,San,Francisco,1,1945,1945,3,https://www.profootballarchives.com/players/b/barb01400.html
Jim Barber,San,Francisco,7,1935,1941,76,https://www.profootballarchives.com/players/b/barb01600.html
Kantroy Barber,Colorado;,West,Virginia,1,1999,1999,https://www.profootballarchives.com/players/b/barb01650.html
Kurt Barber,Southern,California,4,1992,1995,51,https://www.profootballarchives.com/players/b/barb01700.html
Marion Barber,Minnesota,7,1982,1988,85,11,https://www.profootballarchives.com/players/b/barb01800.html
Marion Barber,Minnesota,7,2005,2011,99,42,https://www.profootballarchives.com/players/b/barb01810.html
Mark Barber,South,Dakota,State,1,1937,1937,https://www.profootballarchives.com/players/b/barb02000.html
Mike Barber,Clemson,5,1995,1999,51,31,https://www.profootballarchives.com/players/b/barb02100.html
Mike Barber,Louisiana,Tech,11,1976,1985,129,https://www.profootballarchives.com/players/b/barb02200.html
